Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas1             Pavarde1            3    	1    	10   	10   	8    	6    	10   	2    	6    	10   	4    	
Vardas2             Pavarde2            7    	7    	8    	8    	5    	1    	1    	4    	8    	4    	2    	
Vardas3             Pavarde3            3    	2    	10   	2    	9    	9    	2    	5    	7    	7    	6    	
Vardas4             Pavarde4            6    	5    	1    	1    	9    	10   	4    	5    	9    	10   	1    	
Vardas5             Pavarde5            7    	1    	8    	9    	6    	4    	5    	2    	8    	8    	3    	
Vardas6             Pavarde6            7    	1    	9    	1    	5    	6    	6    	5    	9    	6    	8    	
Vardas7             Pavarde7            2    	8    	7    	2    	5    	4    	6    	7    	5    	3    	2    	
Vardas8             Pavarde8            9    	9    	10   	4    	7    	9    	10   	10   	6    	1    	7    	
Vardas9             Pavarde9            8    	10   	9    	3    	10   	5    	3    	1    	8    	8    	1    	
Vardas10            Pavarde10           6    	8    	1    	8    	5    	6    	1    	5    	9    	7    	7    	
Vardas11            Pavarde11           6    	1    	7    	5    	10   	9    	9    	1    	4    	2    	1    	
Vardas12            Pavarde12           3    	4    	1    	7    	6    	5    	3    	7    	5    	4    	2    	
Vardas13            Pavarde13           10   	7    	10   	4    	3    	1    	2    	3    	5    	3    	9    	
Vardas14            Pavarde14           9    	10   	9    	1    	6    	8    	5    	10   	3    	7    	9    	
Vardas15            Pavarde15           2    	10   	5    	1    	1    	1    	3    	4    	7    	10   	5    	
Vardas16            Pavarde16           2    	9    	4    	2    	5    	5    	5    	9    	5    	3    	4    	
Vardas17            Pavarde17           6    	9    	7    	7    	6    	9    	6    	3    	9    	1    	5    	
Vardas18            Pavarde18           10   	8    	9    	3    	4    	5    	9    	8    	4    	2    	4    	
Vardas19            Pavarde19           4    	5    	6    	3    	10   	3    	1    	8    	5    	2    	8    	
Vardas20            Pavarde20           8    	4    	9    	6    	3    	10   	9    	3    	7    	3    	8    	
Vardas21            Pavarde21           9    	6    	7    	7    	5    	7    	10   	1    	2    	1    	7    	
Vardas22            Pavarde22           1    	5    	3    	10   	8    	10   	3    	4    	3    	6    	1    	
Vardas23            Pavarde23           7    	1    	4    	2    	5    	3    	3    	5    	4    	3    	3    	
Vardas24            Pavarde24           2    	7    	3    	10   	5    	5    	4    	6    	6    	9    	1    	
Vardas25            Pavarde25           7    	5    	6    	6    	6    	4    	4    	2    	9    	2    	6    	
Vardas26            Pavarde26           5    	5    	1    	6    	10   	3    	1    	2    	1    	2    	8    	
Vardas27            Pavarde27           9    	10   	7    	7    	4    	1    	2    	10   	7    	6    	7    	
Vardas28            Pavarde28           1    	6    	5    	5    	9    	6    	6    	6    	7    	3    	7    	
Vardas29            Pavarde29           4    	3    	6    	1    	2    	10   	9    	6    	5    	6    	1    	
Vardas30            Pavarde30           4    	10   	2    	4    	4    	5    	1    	10   	8    	5    	8    	
Vardas31            Pavarde31           7    	4    	9    	7    	10   	1    	5    	3    	5    	7    	4    	
Vardas32            Pavarde32           9    	10   	1    	10   	3    	6    	7    	7    	6    	9    	3    	
Vardas33            Pavarde33           6    	5    	7    	10   	8    	6    	5    	3    	9    	10   	4    	
Vardas34            Pavarde34           10   	2    	5    	7    	9    	4    	2    	1    	5    	7    	10   	
Vardas35            Pavarde35           10   	3    	2    	1    	4    	9    	7    	2    	4    	4    	1    	
Vardas36            Pavarde36           6    	10   	10   	2    	3    	3    	1    	4    	7    	7    	1    	
Vardas37            Pavarde37           9    	8    	10   	7    	3    	10   	10   	3    	3    	6    	8    	
Vardas38            Pavarde38           4    	9    	4    	9    	8    	8    	6    	3    	5    	7    	10   	
Vardas39            Pavarde39           9    	10   	4    	9    	3    	7    	4    	4    	10   	10   	1    	
Vardas40            Pavarde40           1    	2    	2    	2    	10   	2    	6    	9    	7    	6    	9    	
Vardas41            Pavarde41           3    	6    	7    	3    	9    	2    	3    	2    	7    	8    	2    	
Vardas42            Pavarde42           10   	5    	6    	3    	8    	7    	9    	9    	10   	6    	8    	
Vardas43            Pavarde43           4    	8    	10   	10   	4    	3    	7    	2    	1    	9    	3    	
Vardas44            Pavarde44           10   	10   	7    	8    	4    	2    	7    	8    	7    	10   	8    	
Vardas45            Pavarde45           4    	5    	10   	10   	7    	5    	8    	3    	3    	1    	9    	
Vardas46            Pavarde46           3    	9    	2    	4    	10   	1    	4    	9    	3    	3    	3    	
Vardas47            Pavarde47           8    	8    	10   	8    	2    	3    	1    	6    	1    	4    	10   	
Vardas48            Pavarde48           1    	4    	10   	7    	10   	9    	3    	7    	10   	9    	10   	
Vardas49            Pavarde49           4    	9    	6    	5    	4    	8    	4    	2    	10   	9    	3    	
Vardas50            Pavarde50           9    	2    	9    	3    	2    	6    	7    	3    	7    	9    	5    	
Vardas51            Pavarde51           8    	9    	1    	6    	4    	2    	9    	2    	1    	6    	3    	
Vardas52            Pavarde52           2    	8    	3    	3    	5    	3    	7    	10   	9    	7    	9    	
Vardas53            Pavarde53           8    	7    	4    	9    	6    	10   	6    	8    	5    	8    	6    	
Vardas54            Pavarde54           5    	6    	2    	2    	8    	7    	4    	10   	10   	1    	2    	
Vardas55            Pavarde55           2    	9    	7    	8    	5    	3    	6    	10   	1    	2    	3    	
Vardas56            Pavarde56           2    	1    	9    	8    	8    	7    	8    	5    	3    	3    	2    	
Vardas57            Pavarde57           7    	5    	10   	8    	4    	7    	8    	4    	10   	6    	7    	
Vardas58            Pavarde58           7    	4    	6    	6    	6    	5    	10   	5    	3    	6    	8    	
Vardas59            Pavarde59           1    	9    	10   	10   	5    	9    	9    	6    	7    	8    	4    	
Vardas60            Pavarde60           6    	9    	2    	10   	4    	10   	3    	4    	10   	3    	3    	
Vardas61            Pavarde61           10   	1    	7    	9    	6    	10   	2    	4    	1    	4    	3    	
Vardas62            Pavarde62           7    	10   	5    	1    	5    	7    	7    	5    	2    	4    	2    	
Vardas63            Pavarde63           5    	9    	2    	8    	9    	10   	10   	7    	9    	1    	10   	
Vardas64            Pavarde64           10   	3    	6    	10   	8    	2    	1    	3    	10   	6    	4    	
Vardas65            Pavarde65           8    	8    	1    	9    	6    	10   	9    	7    	3    	2    	8    	
Vardas66            Pavarde66           3    	9    	1    	2    	10   	6    	6    	10   	8    	3    	3    	
Vardas67            Pavarde67           7    	4    	3    	6    	9    	2    	10   	3    	6    	7    	10   	
Vardas68            Pavarde68           4    	4    	5    	10   	4    	5    	2    	6    	5    	3    	5    	
Vardas69            Pavarde69           4    	1    	1    	4    	4    	5    	8    	3    	6    	2    	2    	
Vardas70            Pavarde70           3    	7    	6    	7    	3    	4    	6    	8    	6    	6    	4    	
Vardas71            Pavarde71           5    	6    	7    	7    	8    	7    	2    	7    	7    	9    	9    	
Vardas72            Pavarde72           9    	4    	3    	10   	5    	9    	10   	5    	9    	3    	5    	
Vardas73            Pavarde73           6    	3    	6    	4    	10   	5    	3    	5    	10   	7    	1    	
Vardas74            Pavarde74           1    	2    	2    	7    	5    	8    	4    	4    	8    	6    	9    	
Vardas75            Pavarde75           5    	9    	3    	3    	8    	10   	9    	6    	5    	1    	4    	
Vardas76            Pavarde76           1    	6    	10   	6    	2    	3    	6    	4    	4    	6    	1    	
Vardas77            Pavarde77           8    	2    	5    	8    	8    	3    	5    	1    	8    	6    	1    	
Vardas78            Pavarde78           4    	4    	5    	6    	8    	9    	5    	10   	1    	9    	1    	
Vardas79            Pavarde79           7    	9    	3    	2    	1    	10   	5    	10   	9    	6    	3    	
Vardas80            Pavarde80           1    	4    	7    	4    	9    	4    	1    	5    	8    	7    	1    	
Vardas81            Pavarde81           10   	2    	1    	5    	5    	3    	5    	2    	1    	4    	4    	
Vardas82            Pavarde82           10   	3    	10   	1    	1    	10   	10   	4    	6    	10   	3    	
Vardas83            Pavarde83           4    	6    	5    	1    	8    	1    	6    	9    	1    	5    	4    	
Vardas84            Pavarde84           9    	10   	1    	7    	8    	6    	2    	5    	10   	1    	3    	
Vardas85            Pavarde85           2    	10   	2    	5    	6    	1    	3    	10   	10   	10   	10   	
Vardas86            Pavarde86           2    	10   	3    	8    	4    	4    	4    	7    	1    	2    	1    	
Vardas87            Pavarde87           2    	8    	9    	4    	4    	9    	7    	6    	4    	9    	9    	
Vardas88            Pavarde88           6    	10   	4    	8    	9    	9    	2    	6    	1    	4    	5    	
Vardas89            Pavarde89           8    	7    	5    	2    	5    	2    	8    	7    	2    	1    	2    	
Vardas90            Pavarde90           4    	6    	1    	6    	6    	4    	2    	3    	2    	4    	2    	
Vardas91            Pavarde91           5    	8    	5    	6    	3    	3    	1    	9    	8    	1    	5    	
Vardas92            Pavarde92           7    	1    	7    	3    	3    	1    	9    	2    	7    	4    	1    	
Vardas93            Pavarde93           9    	5    	7    	9    	10   	7    	5    	10   	6    	6    	3    	
Vardas94            Pavarde94           7    	3    	6    	3    	1    	8    	2    	9    	2    	10   	9    	
Vardas95            Pavarde95           4    	6    	3    	2    	10   	8    	4    	10   	10   	4    	5    	
Vardas96            Pavarde96           7    	1    	10   	9    	1    	5    	4    	6    	8    	10   	9    	
Vardas97            Pavarde97           6    	6    	3    	1    	5    	7    	6    	3    	6    	1    	8    	
Vardas98            Pavarde98           2    	6    	2    	1    	2    	4    	4    	6    	3    	9    	8    	
Vardas99            Pavarde99           4    	1    	1    	4    	1    	2    	1    	1    	1    	6    	3    	
Vardas100           Pavarde100          9    	1    	2    	8    	8    	1    	1    	5    	8    	9    	5    	
Vardas101           Pavarde101          4    	5    	2    	2    	8    	1    	3    	8    	9    	9    	10   	
Vardas102           Pavarde102          4    	9    	1    	3    	7    	1    	5    	8    	2    	7    	1    	
Vardas103           Pavarde103          4    	6    	9    	6    	10   	3    	3    	7    	3    	1    	9    	
Vardas104           Pavarde104          9    	2    	9    	4    	8    	7    	9    	2    	2    	2    	7    	
Vardas105           Pavarde105          4    	7    	4    	8    	8    	4    	4    	8    	5    	1    	3    	
Vardas106           Pavarde106          1    	7    	4    	2    	10   	7    	8    	1    	10   	10   	6    	
Vardas107           Pavarde107          2    	4    	4    	9    	10   	5    	1    	3    	2    	3    	9    	
Vardas108           Pavarde108          7    	8    	1    	5    	10   	2    	10   	9    	7    	8    	4    	
Vardas109           Pavarde109          8    	9    	4    	6    	5    	10   	10   	8    	8    	6    	10   	
Vardas110           Pavarde110          4    	3    	4    	2    	1    	4    	3    	6    	1    	5    	8    	
Vardas111           Pavarde111          1    	3    	8    	5    	2    	1    	4    	3    	9    	8    	5    	
Vardas112           Pavarde112          2    	5    	1    	1    	9    	1    	5    	1    	9    	5    	5    	
Vardas113           Pavarde113          6    	9    	10   	5    	4    	3    	8    	8    	10   	1    	2    	
Vardas114           Pavarde114          9    	9    	10   	4    	7    	10   	1    	7    	7    	6    	4    	
Vardas115           Pavarde115          4    	6    	5    	1    	5    	5    	1    	10   	3    	5    	10   	
Vardas116           Pavarde116          5    	6    	9    	1    	8    	8    	7    	2    	7    	4    	1    	
Vardas117           Pavarde117          9    	8    	2    	2    	1    	3    	2    	1    	8    	10   	5    	
Vardas118           Pavarde118          6    	4    	8    	9    	2    	2    	10   	1    	3    	6    	3    	
Vardas119           Pavarde119          2    	6    	3    	9    	4    	9    	10   	3    	7    	7    	10   	
Vardas120           Pavarde120          6    	5    	4    	1    	7    	1    	8    	9    	8    	9    	2    	
Vardas121           Pavarde121          3    	10   	7    	5    	2    	8    	8    	1    	8    	6    	5    	
Vardas122           Pavarde122          8    	4    	7    	8    	7    	4    	3    	6    	4    	10   	6    	
Vardas123           Pavarde123          8    	2    	3    	9    	1    	5    	5    	6    	6    	5    	6    	
Vardas124           Pavarde124          8    	4    	5    	9    	8    	7    	8    	5    	8    	5    	10   	
Vardas125           Pavarde125          9    	10   	3    	4    	7    	7    	10   	4    	7    	1    	8    	
Vardas126           Pavarde126          1    	1    	5    	8    	1    	7    	1    	7    	5    	3    	1    	
Vardas127           Pavarde127          9    	3    	8    	4    	10   	9    	10   	3    	5    	9    	10   	
Vardas128           Pavarde128          10   	6    	1    	5    	8    	9    	9    	4    	8    	10   	4    	
Vardas129           Pavarde129          7    	5    	3    	7    	10   	6    	2    	2    	7    	5    	6    	
Vardas130           Pavarde130          6    	7    	9    	6    	2    	9    	4    	6    	1    	8    	3    	
Vardas131           Pavarde131          6    	6    	10   	6    	7    	1    	5    	3    	4    	6    	3    	
Vardas132           Pavarde132          5    	8    	8    	1    	1    	7    	9    	1    	3    	5    	9    	
Vardas133           Pavarde133          8    	5    	1    	6    	2    	9    	1    	6    	9    	10   	3    	
Vardas134           Pavarde134          5    	8    	8    	10   	3    	8    	6    	4    	2    	4    	9    	
Vardas135           Pavarde135          2    	9    	3    	6    	10   	8    	8    	2    	7    	6    	6    	
Vardas136           Pavarde136          6    	6    	8    	4    	3    	7    	1    	2    	9    	7    	3    	
Vardas137           Pavarde137          5    	4    	5    	5    	5    	9    	3    	10   	7    	6    	1    	
Vardas138           Pavarde138          6    	3    	1    	3    	2    	6    	3    	10   	1    	8    	4    	
Vardas139           Pavarde139          10   	4    	7    	3    	9    	4    	6    	7    	8    	9    	9    	
Vardas140           Pavarde140          10   	10   	5    	3    	9    	3    	10   	4    	10   	7    	8    	
Vardas141           Pavarde141          9    	4    	3    	5    	10   	6    	10   	6    	3    	6    	7    	
Vardas142           Pavarde142          9    	9    	8    	10   	6    	1    	4    	4    	8    	7    	5    	
Vardas143           Pavarde143          9    	5    	2    	7    	4    	10   	5    	1    	5    	8    	3    	
Vardas144           Pavarde144          1    	1    	7    	4    	3    	3    	7    	3    	3    	7    	9    	
Vardas145           Pavarde145          3    	7    	1    	6    	6    	6    	10   	4    	10   	3    	6    	
Vardas146           Pavarde146          5    	3    	4    	7    	5    	8    	5    	2    	10   	5    	3    	
Vardas147           Pavarde147          8    	10   	4    	4    	7    	10   	8    	10   	8    	10   	7    	
Vardas148           Pavarde148          3    	5    	10   	3    	7    	8    	7    	6    	4    	9    	5    	
Vardas149           Pavarde149          8    	3    	9    	10   	1    	2    	4    	2    	1    	3    	1    	
Vardas150           Pavarde150          5    	10   	6    	2    	2    	8    	6    	8    	2    	1    	9    	
Vardas151           Pavarde151          1    	9    	5    	1    	9    	6    	5    	5    	2    	6    	10   	
Vardas152           Pavarde152          7    	3    	1    	5    	5    	9    	5    	7    	2    	6    	5    	
Vardas153           Pavarde153          3    	6    	2    	1    	7    	4    	2    	10   	10   	7    	7    	
Vardas154           Pavarde154          4    	8    	8    	7    	10   	3    	5    	9    	5    	1    	10   	
Vardas155           Pavarde155          8    	5    	10   	4    	6    	1    	8    	2    	6    	4    	1    	
Vardas156           Pavarde156          5    	5    	10   	4    	2    	9    	6    	3    	10   	3    	2    	
Vardas157           Pavarde157          4    	1    	7    	9    	9    	8    	10   	7    	8    	5    	3    	
Vardas158           Pavarde158          6    	9    	9    	5    	4    	2    	8    	8    	10   	7    	8    	
